key,f_science,f_eng,f_math,f_total,m_science,m_eng,m_math,m_total,science,eng,math,total,fshare_science,fshare_eng,fshare_math,fshare_total,mshare_science,mshare_eng,mshare_math,mshare_total,fsect_science,fsect_eng,fsect_math,msect_science,msect_eng,msect_math
Nunavut,240,80,70,390,250,330,115,695,490,410,185,1085,0.489795918,0.195121951,0.378378378,0.359447005,0.510204082,0.804878049,0.621621622,0.640552995,0.221198157,0.073732719,0.064516129,0.230414747,0.304147465,0.105990783
Northwest Territories,810,220,155,1185,800,1015,245,2060,1610,1235,400,3245,0.50310559,0.178137652,0.3875,0.365177196,0.49689441,0.821862348,0.6125,0.634822804,0.249614792,0.06779661,0.047765794,0.246533128,0.312788906,0.07550077
Yukon,875,215,220,1310,875,905,280,2060,1750,1120,500,3370,0.5,0.191964286,0.44,0.388724036,0.5,0.808035714,0.56,0.611275964,0.259643917,0.06379822,0.065281899,0.259643917,0.268545994,0.083086053
Prince Edward Island,3155,475,765,4395,2565,3090,1620,7275,5720,3565,2385,11670,0.551573427,0.133239832,0.320754717,0.376606684,0.448426573,0.866760168,0.679245283,0.623393316,0.270351328,0.040702656,0.065552699,0.219794344,0.264781491,0.138817481
Newfoundland and Labrador,6945,3850,3540,14335,7025,16920,5165,29110,13970,20770,8705,43445,0.497136722,0.185363505,0.406662837,0.329957417,0.502863278,0.814636495,0.593337163,0.670042583,0.159857291,0.088617793,0.081482334,0.1616987,0.389457935,0.118885948
New Brunswick,9775,3130,4010,16915,9340,21840,9160,40340,19115,24970,13170,57255,0.511378499,0.125350421,0.304479879,0.295432713,0.488621501,0.874649579,0.695520121,0.704567287,0.170727447,0.054667715,0.070037551,0.163129858,0.381451402,0.159986027
Saskatchewan,15350,5305,4895,25550,16010,28750,10060,54820,31360,34055,14955,80370,0.489477041,0.155777419,0.327315279,0.317904691,0.510522959,0.844222581,0.672684721,0.682095309,0.190991664,0.066007217,0.060905811,0.199203683,0.357720542,0.125171084
Nova Scotia,19325,4100,6610,30035,17765,28065,12935,58765,37090,32165,19545,88800,0.521029927,0.127467744,0.338193911,0.338231982,0.478970073,0.872532256,0.661806089,0.661768018,0.217623874,0.046171171,0.074436937,0.200056306,0.316047297,0.145664414
Manitoba,20205,6200,8115,34520,20265,34780,15765,70810,40470,40980,23880,105330,0.49925871,0.151293314,0.339824121,0.32773189,0.50074129,0.848706686,0.660175879,0.67226811,0.191825691,0.058862622,0.077043577,0.192395329,0.330200323,0.149672458
Alberta,85090,48865,27890,161845,88410,211980,55125,355515,173500,260845,83015,517360,0.490432277,0.187333474,0.33596338,0.312828591,0.509567723,0.812666526,0.66403662,0.687171409,0.164469615,0.094450673,0.053908304,0.17088681,0.409734034,0.106550564
British Columbia,97925,36690,36615,171230,106930,181440,80070,368440,204855,218130,116685,539670,0.478021039,0.168202448,0.313793547,0.31728649,0.521978961,0.831797552,0.686206453,0.68271351,0.181453481,0.067985991,0.067847018,0.198139604,0.336205459,0.148368447
Quebec,126565,55070,49935,231570,143390,306520,129385,579295,269955,361590,179320,810865,0.468837399,0.152299566,0.278468659,0.285583913,0.531162601,0.847700434,0.721531341,0.714416087,0.156086402,0.067915128,0.061582384,0.176835848,0.378016069,0.159564169
Ontario,314340,134365,140665,589370,288705,660185,283675,1232565,603045,794550,424340,1821935,0.521254633,0.1691083,0.331491257,0.323485745,0.478745367,0.8308917,0.668508743,0.676514255,0.172530853,0.073748515,0.077206377,0.158460648,0.362353761,0.155699847
Canada,700605,298575,283490,1282670,702355,1495805,603615,2801775,1402960,1794380,887105,4084445,0.499376319,0.166394521,0.319567582,0.31403777,0.500623681,0.833605479,0.680432418,0.68596223,0.171530037,0.073100507,0.069407227,0.171958491,0.36621989,0.147783848
